California,Connecticut,Illinois,Maryland,Massachusetts,Michigan,New Jersey,New York,Rhode Island,date,California_fit,Connecticut_fit,Illinois_fit,Maryland_fit,Massachusetts_fit,Michigan_fit,New Jersey_fit,New York_fit,Rhode Island_fit
1224.9999999999995,1330.9999999999998,1348.9999999999995,582.0000000000005,1706.0,2468.000000000001,4496.000000000001,18412.0,155.0,2020-04-20,1281.0,1387.0,1388.0,606.0,1856.0,2537.0,4574.0,19460.0,156.0
1281.9999999999998,1423.0,1468.0000000000005,652.0000000000003,1961.0000000000014,2574.9999999999986,4752.999999999998,19040.0,171.00000000000006,2020-04-21,1348.0,1468.0,1471.0,650.0,2004.0,2662.0,4817.0,19814.0,166.0
1421.0,1543.9999999999995,1565.000000000001,697.9999999999997,2182.0000000000014,2812.999999999999,5149.999999999999,19646.999999999993,180.9999999999999,2020-04-22,1416.0,1550.0,1558.0,696.0,2156.0,2786.0,5062.0,20167.0,177.0
1533.0000000000002,1639.0000000000007,1688.0000000000005,748.0000000000006,2359.999999999999,2976.9999999999995,5426.0,20212.000000000007,189.00000000000003,2020-04-23,1486.0,1633.0,1647.0,744.0,2313.0,2910.0,5311.0,20520.0,188.0
1621.0,1767.0000000000007,1795.000000000001,798.0000000000007,2555.9999999999995,3084.999999999998,5683.0,20758.99999999999,201.99999999999986,2020-04-24,1557.0,1718.0,1739.0,793.0,2474.0,3033.0,5561.0,20873.0,200.0
1689.000000000001,1864.9999999999998,1875.0000000000014,874.9999999999993,2730.0,3155.0000000000023,5913.999999999998,21326.0,215.0000000000001,2020-04-25,1630.0,1803.0,1833.0,844.0,2638.0,3154.0,5812.0,21225.0,212.0
1725.000000000001,1924.0000000000005,1933.0000000000011,910.0000000000003,2899.0000000000014,3315.0000000000005,5938.0,21803.999999999993,226.00000000000006,2020-04-26,1703.0,1889.0,1930.0,896.0,2805.0,3274.0,6064.0,21576.0,224.0
1779.0000000000011,2011.999999999999,1983.0000000000011,945.0000000000007,3003.0,3407.0,6043.999999999999,22266.999999999993,233.00000000000009,2020-04-27,1778.0,1975.0,2029.0,949.0,2974.0,3392.0,6316.0,21926.0,237.0
1863.9999999999998,2087.0,2124.9999999999986,1015.9999999999997,3153.000000000002,3568.000000000002,6441.999999999999,22777.000000000007,239.00000000000009,2020-04-28,1854.0,2061.0,2129.0,1003.0,3144.0,3507.0,6567.0,22274.0,250.0
1946.0000000000016,2168.9999999999995,2215.0,1078.0000000000002,3404.9999999999986,3669.999999999999,6771.000000000001,23286.999999999993,250.9999999999999,2020-04-29,1930.0,2147.0,2232.0,1057.0,3315.0,3619.0,6816.0,22622.0,263.0
2030.9999999999989,2256.9999999999995,2355.000000000002,1140.0,3561.9999999999986,3789.0000000000014,7227.999999999998,23615.999999999993,266.0,2020-04-30,2007.0,2232.0,2337.0,1113.0,3486.0,3728.0,7063.0,22967.0,277.0
2126.0000000000014,2339.000000000001,2457.0000000000014,1080.000000000001,3715.9999999999986,3866.0000000000005,7537.999999999999,23841.0,278.99999999999994,2020-05-01,2084.0,2316.0,2443.0,1169.0,3656.0,3834.0,7306.0,23311.0,290.0
2180.0,2435.9999999999995,2558.999999999998,1250.9999999999998,3846.0,4020.9999999999995,7741.999999999998,24035.000000000007,295.9999999999999,2020-05-02,2162.0,2400.0,2550.0,1225.0,3825.0,3936.0,7547.0,23654.0,304.0
2216.0000000000005,2435.9999999999995,2618.000000000001,1281.0,4003.9999999999995,4052.9999999999986,7871.000000000003,24575.999999999996,319.9999999999999,2020-05-03,2240.0,2482.0,2659.0,1281.0,3991.0,4034.0,7783.0,23994.0,318.0
2278.000000000002,2556.0000000000005,2659.0000000000023,1317.0000000000011,4089.9999999999986,4139.000000000001,7910.0,24787.999999999993,340.9999999999997,2020-05-04,2318.0,2563.0,2768.0,1338.0,4155.0,4128.0,8014.0,24331.0,332.0
2380.9999999999995,2632.9999999999995,2834.0000000000005,1390.0000000000007,4211.999999999999,4182.999999999998,8243.999999999996,25028.0,355.00000000000006,2020-05-05,2396.0,2641.0,2879.0,1394.0,4315.0,4218.0,8240.0,24667.0,347.0
2463.9999999999995,2718.0,2974.0000000000023,1437.0000000000007,4419.999999999999,4256.000000000002,8548.999999999998,25956.000000000007,370.00000000000017,2020-05-06,2474.0,2718.0,2989.0,1450.0,4470.0,4304.0,8461.0,25000.0,361.0
2535.0000000000014,2796.9999999999995,3111.0000000000005,1502.9999999999995,4552.0,4345.000000000001,8807.000000000002,26205.999999999993,388.00000000000006,2020-05-07,2551.0,2793.0,3101.0,1505.0,4622.0,4385.0,8675.0,25330.0,375.0
2613.000000000001,2874.000000000001,3241.000000000003,1559.9999999999995,4701.999999999997,4399.0,8960.000000000004,26357.999999999993,399.0000000000001,2020-05-08,2628.0,2866.0,3212.0,1560.0,4768.0,4462.0,8882.0,25657.0,389.0
2686.9999999999986,2932.0000000000005,3349.0000000000027,1613.9999999999998,4839.999999999998,4529.999999999998,9115.999999999998,26584.00000000001,417.99999999999994,2020-05-09,2704.0,2937.0,3323.0,1613.0,4909.0,4534.0,9082.0,25982.0,404.0
2715.999999999998,2967.0,3405.9999999999995,1644.0000000000002,4979.0,4555.0,9256.0,26797.99999999999,422.00000000000006,2020-05-10,2780.0,3004.0,3434.0,1666.0,5043.0,4602.0,9276.0,26303.0,418.0
2778.9999999999986,3007.9999999999995,3458.9999999999973,1682.9999999999993,5108.000000000001,4583.999999999998,9340.0,27003.00000000001,429.9999999999999,2020-05-11,2855.0,3070.0,3544.0,1718.0,5172.0,4665.0,9461.0,26621.0,432.0
2879.0000000000005,3040.999999999999,3600.999999999998,1755.9999999999998,5141.000000000002,4674.000000000002,9531.000000000002,27281.999999999993,443.99999999999994,2020-05-12,2928.0,3132.0,3654.0,1768.0,5294.0,4724.0,9639.0,26935.0,445.0
