Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Utah,Virginia,Washington,Wisconsin,date,Alabama_fit,Arizona_fit,Arkansas_fit,California_fit,Colorado_fit,Connecticut_fit,Delaware_fit,District of Columbia_fit,Florida_fit,Georgia_fit,Illinois_fit,Indiana_fit,Iowa_fit,Kansas_fit,Kentucky_fit,Louisiana_fit,Maine_fit,Maryland_fit,Massachusetts_fit,Michigan_fit,Minnesota_fit,Mississippi_fit,Missouri_fit,Nevada_fit,New Hampshire_fit,New Jersey_fit,New Mexico_fit,New York_fit,North Carolina_fit,North Dakota_fit,Ohio_fit,Oklahoma_fit,Oregon_fit,Pennsylvania_fit,Rhode Island_fit,South Carolina_fit,Tennessee_fit,Texas_fit,Utah_fit,Virginia_fit,Washington_fit,Wisconsin_fit
551.0000000000003,800.9999999999994,116.0,3753.0000000000023,1332.000000000001,3693.0000000000005,326.00000000000017,432.00000000000017,2236.9999999999986,1827.0000000000016,4856.000000000001,1976.0,456.0000000000003,205.00000000000003,390.99999999999966,2691.0000000000005,77.99999999999997,2277.000000000001,6372.000000000002,5466.000000000002,877.9999999999993,625.0000000000005,767.9999999999997,380.0000000000003,209.00000000000014,11137.999999999998,317.00000000000006,29045.99999999999,783.9999999999994,53.0,1968.9999999999993,311.0,148.00000000000009,5135.999999999999,608.0000000000001,435.0000000000001,335.9999999999998,1527.9999999999998,97.00000000000006,1171.0000000000007,1060.999999999999,510.0000000000004,2020-05-24,729.0,1117.0,171.0,4811.0,1546.0,4088.0,408.0,497.0,2795.0,2322.0,5995.0,2331.0,609.0,237.0,478.0,2956.0,96.0,2790.0,7360.0,5908.0,1214.0,842.0,877.0,449.0,291.0,12477.0,408.0,30264.0,1075.0,69.0,2431.0,351.0,171.0,5987.0,797.0,567.0,444.0,1915.0,131.0,1490.0,1189.0,658.0
566.0000000000002,807.0000000000007,116.99999999999993,3768.000000000001,1333.0000000000011,3741.9999999999995,332.00000000000006,439.9999999999999,2251.9999999999986,1847.999999999999,4885.000000000002,1984.0000000000002,456.0000000000003,207.00000000000009,390.99999999999966,2691.0000000000005,77.99999999999997,2301.9999999999995,6416.000000000003,5479.000000000001,890.0,634.9999999999997,773.0000000000006,394.0000000000002,209.99999999999991,11147.0,320.0000000000001,29137.999999999985,790.0000000000006,53.99999999999998,1986.9999999999995,312.99999999999994,148.00000000000009,5146.0,608.0000000000001,440.00000000000034,338.0000000000001,1533.0000000000011,98.0000000000001,1208.0000000000014,1069.999999999999,514.0000000000003,2020-05-25,729.0,1117.0,171.0,4811.0,1546.0,4088.0,408.0,497.0,2795.0,2322.0,5995.0,2331.0,609.0,237.0,478.0,2956.0,96.0,2790.0,7360.0,5908.0,1214.0,842.0,877.0,449.0,291.0,12477.0,408.0,30264.0,1075.0,69.0,2431.0,351.0,171.0,5987.0,797.0,567.0,444.0,1915.0,131.0,1490.0,1189.0,658.0
580.0000000000002,809.9999999999995,119.00000000000003,3817.9999999999977,1351.9999999999995,3768.9999999999995,335.0000000000001,439.9999999999999,2258.999999999998,1896.0,4923.000000000002,2003.9999999999986,477.0000000000003,210.00000000000014,393.99999999999966,2702.0000000000005,78.99999999999997,2332.999999999999,6472.999999999998,5505.999999999998,908.0000000000005,651.9999999999997,779.9999999999997,394.0000000000002,213.99999999999991,11194.0,325.0000000000001,29241.000000000004,800.9999999999992,53.99999999999998,2001.9999999999989,317.9999999999998,148.00000000000009,5163.0,633.9999999999998,445.9999999999998,342.99999999999994,1545.9999999999986,100.99999999999997,1235.9999999999995,1077.9999999999998,517.0000000000001,2020-05-26,729.0,1117.0,171.0,4811.0,1546.0,4088.0,408.0,497.0,2795.0,2322.0,5995.0,2331.0,609.0,237.0,478.0,2956.0,96.0,2790.0,7360.0,5908.0,1214.0,842.0,877.0,449.0,291.0,12477.0,408.0,30264.0,1075.0,69.0,2431.0,351.0,171.0,5987.0,797.0,567.0,444.0,1915.0,131.0,1490.0,1189.0,658.0
582.9999999999995,833.9999999999999,119.99999999999997,3893.9999999999995,1392.000000000001,3803.0000000000005,344.00000000000006,444.99999999999994,2318.999999999999,1932.999999999999,5083.000000000002,2030.0000000000007,496.0000000000002,213.00000000000006,400.0000000000002,2722.999999999999,81.0,2392.0000000000005,6546.999999999999,5574.0,942.0000000000001,670.0,775.9999999999997,401.9999999999999,222.9999999999998,11339.0,328.99999999999983,29339.00000000001,843.9999999999999,55.99999999999999,2043.9999999999993,321.9999999999999,148.00000000000009,5264.999999999998,654.9999999999998,466.0,353.00000000000034,1581.0000000000014,104.99999999999994,1281.0000000000005,1094.9999999999995,538.9999999999999,2020-05-27,729.0,1117.0,171.0,4811.0,1546.0,4088.0,408.0,497.0,2795.0,2322.0,5995.0,2331.0,609.0,237.0,478.0,2956.0,96.0,2790.0,7360.0,5908.0,1214.0,842.0,877.0,449.0,291.0,12477.0,408.0,30264.0,1075.0,69.0,2431.0,351.0,171.0,5987.0,797.0,567.0,444.0,1915.0,131.0,1490.0,1189.0,658.0
591.0000000000003,859.9999999999995,125.00000000000006,3993.0000000000027,1420.9999999999993,3826.0000000000005,345.0,453.0000000000001,2363.9999999999986,1973.0000000000007,5185.999999999999,2067.999999999999,505.9999999999998,214.0000000000001,408.9999999999998,2741.0,84.00000000000003,2427.9999999999995,6639.999999999998,5612.000000000002,976.9999999999995,692.9999999999995,788.9999999999999,406.00000000000017,231.99999999999997,11408.999999999996,335.0000000000001,29438.0,875.9999999999999,57.00000000000002,2098.000000000001,325.0000000000003,151.0,5373.000000000002,677.0,469.9999999999997,355.9999999999998,1611.0000000000002,105.99999999999993,1337.9999999999993,1106.0000000000005,549.9999999999999,2020-05-28,729.0,1117.0,171.0,4811.0,1546.0,4088.0,408.0,497.0,2795.0,2322.0,5995.0,2331.0,609.0,237.0,478.0,2956.0,96.0,2790.0,7360.0,5908.0,1214.0,842.0,877.0,449.0,291.0,12477.0,408.0,30264.0,1075.0,69.0,2431.0,351.0,171.0,5987.0,797.0,567.0,444.0,1915.0,131.0,1490.0,1189.0,658.0
610.0000000000005,886.0000000000007,132.00000000000009,4077.0,1435.9999999999993,3868.000000000001,355.9999999999999,460.00000000000017,2413.0000000000014,1986.9999999999993,5270.000000000001,2110.0000000000014,524.0000000000005,215.00000000000009,417.99999999999994,2766.999999999999,85.00000000000006,2466.000000000001,6717.999999999999,5646.0,1006.0000000000002,710.0000000000003,793.9999999999999,406.00000000000017,238.00000000000006,11530.999999999996,344.0000000000001,29534.999999999993,918.9999999999994,59.000000000000036,2130.999999999999,329.00000000000006,151.0,5464.0,693.0,483.0000000000003,361.0000000000003,1618.9999999999998,106.99999999999991,1358.0000000000002,1111.0000000000007,568.0000000000003,2020-05-29,729.0,1117.0,171.0,4811.0,1546.0,4088.0,408.0,497.0,2795.0,2322.0,5995.0,2331.0,609.0,237.0,478.0,2956.0,96.0,2790.0,7360.0,5908.0,1214.0,842.0,877.0,449.0,291.0,12477.0,408.0,30264.0,1075.0,69.0,2431.0,351.0,171.0,5987.0,797.0,567.0,444.0,1915.0,131.0,1490.0,1189.0,658.0
618.0,903.9999999999993,133.00000000000014,4144.000000000004,1443.0000000000007,3911.9999999999995,361.00000000000006,461.9999999999999,2446.9999999999986,2004.0000000000005,5329.999999999998,2125.000000000002,530.9999999999997,215.00000000000009,431.00000000000017,2786.0000000000005,89.00000000000004,2509.0000000000005,6767.999999999999,5704.000000000002,1036.0000000000007,722.9999999999995,812.0000000000002,417.0000000000003,238.00000000000006,11633.999999999998,351.00000000000006,29611.99999999999,928.9999999999993,60.00000000000001,2148.9999999999986,334.00000000000017,153.0000000000001,5537.000000000001,710.9999999999998,486.99999999999966,363.9999999999997,1651.9999999999986,111.99999999999991,1370.0000000000002,1118.0000000000005,587.9999999999995,2020-05-30,729.0,1117.0,171.0,4811.0,1546.0,4088.0,408.0,497.0,2795.0,2322.0,5995.0,2331.0,609.0,237.0,478.0,2956.0,96.0,2790.0,7360.0,5908.0,1214.0,842.0,877.0,449.0,291.0,12477.0,408.0,30264.0,1075.0,69.0,2431.0,351.0,171.0,5987.0,797.0,567.0,444.0,1915.0,131.0,1490.0,1189.0,658.0
630.0000000000003,906.9999999999994,133.00000000000014,4172.000000000002,1444.9999999999995,3944.000000000001,366.00000000000006,465.99999999999983,2450.9999999999986,2052.9999999999995,5389.999999999997,2134.000000000001,535.0000000000005,215.00000000000009,431.00000000000017,2791.0000000000005,89.00000000000004,2532.0000000000005,6846.000000000004,5731.0,1050.0000000000007,733.9999999999998,814.0000000000007,417.0000000000003,245.00000000000009,11698.0,356.00000000000017,29698.999999999996,937.0000000000002,61.00000000000003,2154.9999999999986,334.00000000000017,153.0000000000001,5555.0,717.9999999999998,494.00000000000034,363.9999999999997,1675.0000000000007,113.00000000000007,1374.9999999999993,1118.0000000000005,591.9999999999995,2020-05-31,729.0,1117.0,171.0,4811.0,1546.0,4088.0,408.0,497.0,2795.0,2322.0,5995.0,2331.0,609.0,237.0,478.0,2956.0,96.0,2790.0,7360.0,5908.0,1214.0,842.0,877.0,449.0,291.0,12477.0,408.0,30264.0,1075.0,69.0,2431.0,351.0,171.0,5987.0,797.0,567.0,444.0,1915.0,131.0,1490.0,1189.0,658.0
645.9999999999995,918.0,133.00000000000014,4217.000000000001,1458.000000000001,3969.9999999999995,368.0,467.9999999999997,2460.0000000000014,2094.0000000000014,5411.999999999998,2142.999999999999,554.9999999999995,216.99999999999983,439.00000000000006,2801.000000000001,89.00000000000004,2551.999999999999,7035.000000000001,5758.000000000003,1060.000000000001,738.9999999999999,814.9999999999995,417.0000000000003,245.00000000000009,11723.000000000005,362.0,29766.000000000004,947.9999999999991,61.00000000000003,2207.0,334.00000000000017,153.99999999999991,5566.999999999999,720.0,500.0000000000004,363.9999999999997,1682.999999999999,113.00000000000007,1392.0000000000002,1123.0,594.9999999999999,2020-06-01,729.0,1117.0,171.0,4811.0,1546.0,4088.0,408.0,497.0,2795.0,2322.0,5995.0,2331.0,609.0,237.0,478.0,2956.0,96.0,2790.0,7360.0,5908.0,1214.0,842.0,877.0,449.0,291.0,12477.0,408.0,30264.0,1075.0,69.0,2431.0,351.0,171.0,5987.0,797.0,567.0,444.0,1915.0,131.0,1490.0,1189.0,658.0
653.0000000000002,942.9999999999999,136.00000000000006,4305.000000000004,1473.999999999999,3971.999999999999,373.0,470.0,2530.0000000000005,2102.0000000000014,5524.999999999998,2197.000000000002,560.9999999999999,222.0000000000001,442.0000000000003,2834.9999999999995,93.99999999999996,2597.000000000001,7085.000000000001,5795.0,1081.9999999999998,766.9999999999993,824.9999999999994,417.0000000000003,255.99999999999994,11771.000000000004,367.0,29847.000000000007,961.0000000000005,65.0,2258.9999999999995,339.0000000000002,157.00000000000009,5666.999999999997,731.9999999999997,501.0,381.00000000000017,1716.000000000001,113.00000000000007,1407.0,1129.0,607.0000000000002,2020-06-02,729.0,1117.0,171.0,4811.0,1546.0,4088.0,408.0,497.0,2795.0,2322.0,5995.0,2331.0,609.0,237.0,478.0,2956.0,96.0,2790.0,7360.0,5908.0,1214.0,842.0,877.0,449.0,291.0,12477.0,408.0,30264.0,1075.0,69.0,2431.0,351.0,171.0,5987.0,797.0,567.0,444.0,1915.0,131.0,1490.0,1189.0,658.0
